,RankEp1,RankEp2,RankEp3,RankEp4,RankEp5,RankEp6,Income
175,5,6,4,1,2,3,"$25,000 - $49,999"
169,2,1,4,3,5,6,"$25,000 - $49,999"
869,1,3,4,5,2,6,"$25,000 - $49,999"
659,2,3,4,5,1,6,"$25,000 - $49,999"
117,3,4,5,6,2,1,"$25,000 - $49,999"
863,4,5,6,2,3,1,"$25,000 - $49,999"
143,2,3,4,5,6,1,"$25,000 - $49,999"
636,6,5,4,3,2,1,"$25,000 - $49,999"
635,2,3,4,5,6,1,"$25,000 - $49,999"
141,5,6,3,4,1,2,"$25,000 - $49,999"
631,4,5,6,1,2,3,"$25,000 - $49,999"
136,4,5,6,3,2,1,"$25,000 - $49,999"
1119,4,5,6,3,1,2,"$25,000 - $49,999"
627,2,3,4,5,1,6,"$25,000 - $49,999"
752,5,6,4,1,2,3,"$25,000 - $49,999"
875,3,4,5,6,1,2,"$25,000 - $49,999"
438,3,4,5,6,1,2,"$25,000 - $49,999"
556,1,4,5,6,2,3,"$25,000 - $49,999"
440,6,4,1,3,2,5,"$25,000 - $49,999"
566,4,5,6,1,2,3,"$25,000 - $49,999"
54,5,6,4,2,1,3,"$25,000 - $49,999"
564,2,3,5,4,1,6,"$25,000 - $49,999"
509,2,3,4,5,1,6,"$25,000 - $49,999"
835,3,4,5,6,1,2,"$25,000 - $49,999"
978,1,2,3,4,5,6,"$25,000 - $49,999"
531,6,4,5,3,1,2,"$25,000 - $49,999"
225,1,2,3,5,6,4,"$25,000 - $49,999"
532,1,2,3,4,5,6,"$25,000 - $49,999"
1093,2,3,4,5,1,6,"$25,000 - $49,999"
257,6,5,3,1,4,2,"$25,000 - $49,999"
1001,1,2,3,4,5,6,"$25,000 - $49,999"
371,2,4,6,3,5,1,"$25,000 - $49,999"
283,1,6,5,2,4,3,"$25,000 - $49,999"
103,5,3,4,6,2,1,"$25,000 - $49,999"
570,6,4,5,3,1,2,"$25,000 - $49,999"
1170,4,5,6,3,1,2,"$25,000 - $49,999"
86,6,5,3,2,1,4,"$25,000 - $49,999"
529,6,4,5,1,2,3,"$25,000 - $49,999"
510,3,1,2,4,5,6,"$25,000 - $49,999"
981,2,3,4,5,1,6,"$25,000 - $49,999"
984,1,2,3,4,5,6,"$25,000 - $49,999"
519,6,4,5,3,2,1,"$25,000 - $49,999"
126,4,5,6,2,3,1,"$25,000 - $49,999"
530,4,5,6,1,2,3,"$25,000 - $49,999"
972,3,5,6,1,2,4,"$25,000 - $49,999"
603,6,1,3,2,4,5,"$25,000 - $49,999"
963,1,5,4,2,6,3,"$25,000 - $49,999"
45,5,6,4,3,2,1,"$25,000 - $49,999"
967,3,2,1,6,4,5,"$25,000 - $49,999"
593,3,4,1,5,6,2,"$25,000 - $49,999"
1172,6,2,1,5,3,4,"$25,000 - $49,999"
1097,4,3,5,6,1,2,"$25,000 - $49,999"
397,4,5,6,3,2,1,"$25,000 - $49,999"
261,4,5,6,1,2,3,"$25,000 - $49,999"
1043,2,3,4,6,1,5,"$25,000 - $49,999"
1045,6,3,1,2,4,5,"$25,000 - $49,999"
499,3,4,5,6,1,2,"$25,000 - $49,999"
124,4,5,6,3,2,1,"$25,000 - $49,999"
496,3,4,5,6,2,1,"$25,000 - $49,999"
1087,3,4,5,6,1,2,"$25,000 - $49,999"
486,5,4,6,3,1,2,"$25,000 - $49,999"
1084,4,1,2,5,6,3,"$25,000 - $49,999"
68,6,5,2,4,3,1,"$25,000 - $49,999"
1161,3,4,2,5,6,1,"$25,000 - $49,999"
1082,6,5,4,3,2,1,"$25,000 - $49,999"
205,4,5,6,2,1,3,"$25,000 - $49,999"
1037,4,5,6,3,1,2,"$25,000 - $49,999"
1013,4,5,6,3,2,1,"$25,000 - $49,999"
456,4,5,6,1,2,3,"$25,000 - $49,999"
69,5,6,4,2,1,3,"$25,000 - $49,999"
470,3,4,5,6,1,2,"$25,000 - $49,999"
1163,4,5,6,1,2,3,"$25,000 - $49,999"
417,1,2,3,4,5,6,"$25,000 - $49,999"
277,2,3,4,5,1,6,"$25,000 - $49,999"
1048,4,3,5,6,1,2,"$25,000 - $49,999"
74,4,5,6,1,2,3,"$25,000 - $49,999"
286,4,5,6,2,1,3,"$25,000 - $49,999"
374,1,2,3,4,5,6,"$25,000 - $49,999"
370,2,3,4,5,1,6,"$25,000 - $49,999"
413,6,3,4,1,2,5,"$25,000 - $49,999"
1051,5,2,3,6,1,4,"$25,000 - $49,999"
349,2,3,4,5,1,6,"$25,000 - $49,999"
348,1,2,3,4,5,6,"$25,000 - $49,999"
347,4,5,6,1,2,3,"$25,000 - $49,999"
332,4,5,6,1,2,3,"$25,000 - $49,999"
331,4,1,2,3,5,6,"$25,000 - $49,999"
329,5,4,3,6,1,2,"$25,000 - $49,999"
1069,4,6,5,2,3,1,"$25,000 - $49,999"
317,3,4,5,6,2,1,"$25,000 - $49,999"
394,4,5,3,6,1,2,"$25,000 - $49,999"
732,5,2,1,6,3,4,"$25,000 - $49,999"
910,3,4,5,6,1,2,"$25,000 - $49,999"
1088,3,4,5,6,1,2,"$50,000 - $99,999"
326,2,3,4,5,1,6,"$50,000 - $99,999"
333,4,5,6,3,1,2,"$50,000 - $99,999"
350,6,5,4,3,1,2,"$50,000 - $99,999"
352,4,5,6,3,1,2,"$50,000 - $99,999"
360,3,4,5,1,2,6,"$50,000 - $99,999"
366,1,2,3,4,5,6,"$50,000 - $99,999"
383,1,2,3,4,5,6,"$50,000 - $99,999"
393,5,4,6,1,3,2,"$50,000 - $99,999"
308,4,3,1,6,5,2,"$50,000 - $99,999"
396,1,2,3,4,5,6,"$50,000 - $99,999"
319,1,3,4,5,2,6,"$50,000 - $99,999"
398,4,5,6,1,2,3,"$50,000 - $99,999"
404,6,5,4,3,1,2,"$50,000 - $99,999"
423,4,5,2,6,3,1,"$50,000 - $99,999"
429,6,4,3,5,2,1,"$50,000 - $99,999"
436,6,5,3,2,1,4,"$50,000 - $99,999"
439,5,6,4,1,2,3,"$50,000 - $99,999"
318,2,3,4,5,6,1,"$50,000 - $99,999"
299,6,5,4,1,2,3,"$50,000 - $99,999"
184,4,5,6,1,2,3,"$50,000 - $99,999"
233,4,5,6,1,2,3,"$50,000 - $99,999"
188,6,2,1,4,5,3,"$50,000 - $99,999"
403,4,6,5,2,1,3,"$50,000 - $99,999"
389,4,5,6,1,2,3,"$50,000 - $99,999"
441,5,6,4,3,1,2,"$50,000 - $99,999"
176,5,6,4,1,2,3,"$50,000 - $99,999"
94,1,2,3,4,5,6,"$50,000 - $99,999"
82,6,5,4,3,2,1,"$50,000 - $99,999"
168,1,3,4,5,6,2,"$50,000 - $99,999"
49,6,5,4,1,2,3,"$50,000 - $99,999"
14,4,5,6,2,3,1,"$50,000 - $99,999"
17,4,1,2,3,5,6,"$50,000 - $99,999"
20,6,5,1,4,3,2,"$50,000 - $99,999"
23,6,5,4,3,1,2,"$50,000 - $99,999"
32,6,5,4,2,1,3,"$50,000 - $99,999"
34,6,1,2,3,4,5,"$50,000 - $99,999"
39,6,3,5,1,4,2,"$50,000 - $99,999"
48,5,4,6,3,1,2,"$50,000 - $99,999"
51,4,6,5,3,1,2,"$50,000 - $99,999"
77,3,4,5,6,1,2,"$50,000 - $99,999"
53,4,5,1,6,2,3,"$50,000 - $99,999"
58,6,4,5,3,1,2,"$50,000 - $99,999"
60,5,4,6,1,3,2,"$50,000 - $99,999"
64,6,5,4,2,1,3,"$50,000 - $99,999"
67,6,1,5,3,4,2,"$50,000 - $99,999"
71,6,4,5,2,1,3,"$50,000 - $99,999"
75,4,5,6,2,3,1,"$50,000 - $99,999"
76,3,4,5,6,1,2,"$50,000 - $99,999"
159,4,5,6,2,1,3,"$50,000 - $99,999"
189,4,3,6,5,1,2,"$50,000 - $99,999"
192,1,5,2,3,4,6,"$50,000 - $99,999"
203,4,5,6,2,1,3,"$50,000 - $99,999"
212,1,2,3,4,5,6,"$50,000 - $99,999"
1178,1,2,3,4,5,6,"$50,000 - $99,999"
1089,3,4,5,6,1,2,"$50,000 - $99,999"
1135,6,4,5,2,1,3,"$50,000 - $99,999"
904,6,5,4,1,2,3,"$50,000 - $99,999"
1114,4,6,5,2,3,1,"$50,000 - $99,999"
920,1,3,5,6,2,4,"$50,000 - $99,999"
1031,3,6,5,1,2,4,"$50,000 - $99,999"
1105,4,5,1,6,2,3,"$50,000 - $99,999"
921,4,5,6,1,2,3,"$50,000 - $99,999"
1080,4,5,6,1,2,3,"$50,000 - $99,999"
888,5,6,4,1,3,2,"$50,000 - $99,999"
1015,1,2,3,5,6,4,"$50,000 - $99,999"
893,4,5,6,2,3,1,"$50,000 - $99,999"
938,4,5,6,1,2,3,"$50,000 - $99,999"
936,6,5,4,1,3,2,"$50,000 - $99,999"
1023,5,6,1,2,3,4,"$50,000 - $99,999"
1157,3,4,5,6,2,1,"$50,000 - $99,999"
1020,2,4,5,6,3,1,"$50,000 - $99,999"
1049,5,6,3,2,1,4,"$50,000 - $99,999"
871,3,6,4,5,1,2,"$50,000 - $99,999"
929,3,5,2,1,4,6,"$50,000 - $99,999"
1148,6,4,5,3,1,2,"$50,000 - $99,999"
860,1,2,3,4,5,6,"$50,000 - $99,999"
1183,4,5,6,2,3,1,"$50,000 - $99,999"
155,4,5,6,3,1,2,"$50,000 - $99,999"
1130,5,6,4,1,2,3,"$50,000 - $99,999"
990,1,2,5,6,3,4,"$50,000 - $99,999"
218,2,1,3,4,5,6,"$50,000 - $99,999"
221,5,1,6,2,3,4,"$50,000 - $99,999"
232,1,6,5,3,2,4,"$50,000 - $99,999"
236,4,5,6,1,2,3,"$50,000 - $99,999"
298,3,4,5,6,1,2,"$50,000 - $99,999"
245,4,5,6,1,3,2,"$50,000 - $99,999"
249,3,4,5,6,1,2,"$50,000 - $99,999"
254,1,2,3,4,5,6,"$50,000 - $99,999"
264,6,2,3,4,1,5,"$50,000 - $99,999"
284,4,5,6,1,2,3,"$50,000 - $99,999"
288,4,5,6,2,1,3,"$50,000 - $99,999"
290,2,3,4,5,1,6,"$50,000 - $99,999"
295,3,4,5,6,1,2,"$50,000 - $99,999"
854,4,5,6,1,3,2,"$50,000 - $99,999"
577,1,3,4,5,2,6,"$50,000 - $99,999"
916,6,4,5,3,1,2,"$50,000 - $99,999"
883,4,5,6,3,1,2,"$50,000 - $99,999"
1166,5,6,4,3,1,2,"$50,000 - $99,999"
1139,4,5,1,6,2,3,"$50,000 - $99,999"
1079,1,2,3,4,5,6,"$50,000 - $99,999"
1006,5,6,3,4,1,2,"$50,000 - $99,999"
1100,5,6,4,1,3,2,"$50,000 - $99,999"
1011,6,5,4,1,2,3,"$50,000 - $99,999"
1041,5,4,6,2,1,3,"$50,000 - $99,999"
1118,1,2,3,4,5,6,"$50,000 - $99,999"
153,4,5,6,1,3,2,"$50,000 - $99,999"
142,1,2,3,4,5,6,"$50,000 - $99,999"
480,3,5,6,1,2,4,"$50,000 - $99,999"
482,1,2,3,4,5,6,"$50,000 - $99,999"
484,3,4,5,6,1,2,"$50,000 - $99,999"
504,5,3,6,4,1,2,"$50,000 - $99,999"
508,4,3,5,6,2,1,"$50,000 - $99,999"
550,1,5,6,3,2,4,"$50,000 - $99,999"
518,6,3,4,5,1,2,"$50,000 - $99,999"
520,4,6,3,2,1,5,"$50,000 - $99,999"
521,4,5,6,1,2,3,"$50,000 - $99,999"
522,1,5,3,4,6,2,"$50,000 - $99,999"
479,2,3,4,5,1,6,"$50,000 - $99,999"
524,1,3,4,5,2,6,"$50,000 - $99,999"
528,4,5,6,2,1,3,"$50,000 - $99,999"
539,6,5,2,1,4,3,"$50,000 - $99,999"
666,3,4,5,6,1,2,"$50,000 - $99,999"
674,4,5,6,1,3,2,"$50,000 - $99,999"
676,4,5,6,2,3,1,"$50,000 - $99,999"
784,6,5,4,1,2,3,"$50,000 - $99,999"
754,4,5,6,1,2,3,"$50,000 - $99,999"
756,4,5,6,1,2,3,"$50,000 - $99,999"
767,6,2,3,1,4,5,"$50,000 - $99,999"
769,5,6,4,1,2,3,"$50,000 - $99,999"
525,2,1,3,6,4,5,"$50,000 - $99,999"
459,4,5,6,1,2,3,"$50,000 - $99,999"
458,4,6,5,1,3,2,"$50,000 - $99,999"
453,5,6,3,1,2,4,"$50,000 - $99,999"
562,5,3,6,4,1,2,"$50,000 - $99,999"
569,6,5,4,2,1,3,"$50,000 - $99,999"
573,2,1,3,4,5,6,"$50,000 - $99,999"
582,4,1,5,6,3,2,"$50,000 - $99,999"
585,1,2,3,4,5,6,"$50,000 - $99,999"
594,4,6,5,1,2,3,"$50,000 - $99,999"
595,4,6,1,2,5,3,"$50,000 - $99,999"
596,1,2,3,6,4,5,"$50,000 - $99,999"
599,1,2,3,4,5,6,"$50,000 - $99,999"
602,5,6,3,2,1,4,"$50,000 - $99,999"
604,6,4,5,1,2,3,"$50,000 - $99,999"
608,4,5,6,1,2,3,"$50,000 - $99,999"
621,6,4,5,3,2,1,"$50,000 - $99,999"
622,1,2,3,4,5,6,"$50,000 - $99,999"
626,4,5,6,1,2,3,"$50,000 - $99,999"
628,2,3,1,4,5,6,"$50,000 - $99,999"
655,4,5,6,1,2,3,"$50,000 - $99,999"
660,3,4,5,6,1,2,"$50,000 - $99,999"
663,2,3,4,5,1,6,"$50,000 - $99,999"
557,3,4,6,5,1,2,"$50,000 - $99,999"
553,5,3,6,4,1,2,"$50,000 - $99,999"
552,4,5,6,3,1,2,"$50,000 - $99,999"
507,4,5,6,3,2,1,"$50,000 - $99,999"
771,4,5,6,1,2,3,"$50,000 - $99,999"
780,6,5,4,1,2,3,"$50,000 - $99,999"
781,4,5,6,1,2,3,"$50,000 - $99,999"
782,1,3,2,4,6,5,"$50,000 - $99,999"
719,3,4,5,6,2,1,"$50,000 - $99,999"
720,3,5,6,1,2,4,"$50,000 - $99,999"
722,3,4,5,6,2,1,"$50,000 - $99,999"
726,6,5,4,3,2,1,"$50,000 - $99,999"
729,5,4,3,6,1,2,"$50,000 - $99,999"
449,6,5,4,1,2,3,"$50,000 - $99,999"
446,4,5,6,1,2,3,"$50,000 - $99,999"
442,4,5,6,2,1,3,"$50,000 - $99,999"
115,3,4,5,6,1,2,"$50,000 - $99,999"
95,6,5,4,3,2,1,"$50,000 - $99,999"
96,1,4,5,2,3,6,"$50,000 - $99,999"
98,6,5,4,1,3,2,"$50,000 - $99,999"
100,1,2,3,4,5,6,"$50,000 - $99,999"
110,3,4,5,6,2,1,"$50,000 - $99,999"
111,3,5,6,2,4,1,"$50,000 - $99,999"
112,1,4,5,6,2,3,"$50,000 - $99,999"
114,4,5,2,1,3,6,"$50,000 - $99,999"
121,4,5,3,6,1,2,"$50,000 - $99,999"
84,6,5,4,2,3,1,"$50,000 - $99,999"
123,6,4,5,1,2,3,"$50,000 - $99,999"
133,6,5,4,2,3,1,"$50,000 - $99,999"
134,3,4,5,6,1,2,"$50,000 - $99,999"
140,3,6,4,5,1,2,"$50,000 - $99,999"
717,4,5,6,1,2,3,"$50,000 - $99,999"
152,4,5,6,2,3,1,"$50,000 - $99,999"
716,6,5,3,2,1,4,"$50,000 - $99,999"
733,6,3,4,5,1,2,"$50,000 - $99,999"
795,1,6,4,5,2,3,"$50,000 - $99,999"
746,4,5,6,2,1,3,"$50,000 - $99,999"
799,3,4,5,6,2,1,"$50,000 - $99,999"
820,4,5,3,6,1,2,"$50,000 - $99,999"
821,4,5,6,1,2,3,"$50,000 - $99,999"
828,1,2,3,4,5,6,"$50,000 - $99,999"
836,4,5,6,1,3,2,"$50,000 - $99,999"
837,6,5,4,2,1,3,"$50,000 - $99,999"
841,6,5,4,2,1,3,"$50,000 - $99,999"
849,1,2,3,4,5,6,"$50,000 - $99,999"
753,5,4,1,2,3,6,"$50,000 - $99,999"
736,3,6,5,4,1,2,"$50,000 - $99,999"
677,5,2,3,4,6,1,"$50,000 - $99,999"
703,5,6,3,1,4,2,"$50,000 - $99,999"
678,4,5,6,3,1,2,"$50,000 - $99,999"
680,4,5,6,2,3,1,"$50,000 - $99,999"
681,5,6,1,2,4,3,"$50,000 - $99,999"
682,4,5,6,2,3,1,"$50,000 - $99,999"
687,6,5,4,2,1,3,"$50,000 - $99,999"
692,4,5,6,2,1,3,"$50,000 - $99,999"
696,1,4,5,6,3,2,"$50,000 - $99,999"
702,2,3,4,5,1,6,"$50,000 - $99,999"
712,6,4,5,2,1,3,"$50,000 - $99,999"
714,6,4,5,1,2,3,"$50,000 - $99,999"
998,3,5,6,1,4,2,"$50,000 - $99,999"
1186,6,1,2,3,4,5,"$50,000 - $99,999"
1115,6,5,3,4,1,2,"$50,000 - $99,999"
856,1,2,3,4,5,6,"$50,000 - $99,999"
949,1,2,3,4,5,6,"$50,000 - $99,999"
1176,1,3,4,6,2,5,"$50,000 - $99,999"
1145,1,2,3,4,5,6,"$50,000 - $99,999"
918,1,2,3,4,5,6,"$50,000 - $99,999"
1129,4,5,6,2,3,1,"$50,000 - $99,999"
1074,6,5,4,1,2,3,"$50,000 - $99,999"
1155,6,4,5,1,2,3,"$50,000 - $99,999"
912,1,4,5,2,6,3,"$50,000 - $99,999"
1052,4,5,6,2,3,1,"$50,000 - $99,999"
995,6,2,3,4,1,5,"$50,000 - $99,999"
1057,4,5,6,3,2,1,"$50,000 - $99,999"
1147,4,5,3,6,1,2,"$50,000 - $99,999"
962,1,3,4,5,2,6,"$50,000 - $99,999"
1058,6,5,4,3,2,1,"$50,000 - $99,999"
991,3,5,6,4,1,2,"$50,000 - $99,999"
1059,6,5,4,1,2,3,"$50,000 - $99,999"
969,4,5,6,1,2,3,"$50,000 - $99,999"
917,6,1,3,5,4,2,"$50,000 - $99,999"
1070,6,5,4,3,2,1,"$50,000 - $99,999"
1150,3,2,1,5,4,6,"$50,000 - $99,999"
1072,5,6,4,3,1,2,"$50,000 - $99,999"
651,3,4,5,6,1,2,"$100,000 - $149,999"
42,6,5,4,2,1,3,"$100,000 - $149,999"
947,6,3,5,1,2,4,"$100,000 - $149,999"
41,5,6,2,3,4,1,"$100,000 - $149,999"
977,4,6,5,1,2,3,"$100,000 - $149,999"
945,6,4,5,2,1,3,"$100,000 - $149,999"
665,2,3,4,1,5,6,"$100,000 - $149,999"
701,6,5,4,3,2,1,"$100,000 - $149,999"
314,5,6,3,1,4,2,"$100,000 - $149,999"
641,2,3,4,1,5,6,"$100,000 - $149,999"
658,6,4,5,3,2,1,"$100,000 - $149,999"
640,3,4,5,6,1,2,"$100,000 - $149,999"
715,4,5,6,1,2,3,"$100,000 - $149,999"
633,6,5,3,4,1,2,"$100,000 - $149,999"
624,4,6,5,3,2,1,"$100,000 - $149,999"
623,6,4,5,2,1,3,"$100,000 - $149,999"
951,1,2,3,4,5,6,"$100,000 - $149,999"
610,3,4,5,6,1,2,"$100,000 - $149,999"
316,1,5,4,6,2,3,"$100,000 - $149,999"
591,2,1,3,4,5,6,"$100,000 - $149,999"
1185,4,3,6,5,2,1,"$100,000 - $149,999"
713,3,4,5,6,1,2,"$100,000 - $149,999"
260,4,5,6,1,2,3,"$100,000 - $149,999"
723,4,5,6,2,1,3,"$100,000 - $149,999"
829,4,2,5,6,3,1,"$100,000 - $149,999"
637,3,4,5,6,1,2,"$100,000 - $149,999"
171,6,5,4,2,1,3,"$100,000 - $149,999"
154,4,6,5,1,2,3,"$100,000 - $149,999"
1073,4,5,6,2,3,1,"$100,000 - $149,999"
1134,1,5,2,6,4,3,"$100,000 - $149,999"
1124,1,5,6,2,4,3,"$100,000 - $149,999"
1128,3,4,5,6,1,2,"$100,000 - $149,999"
265,6,4,5,1,2,3,"$100,000 - $149,999"
101,2,3,6,5,1,4,"$100,000 - $149,999"
195,6,3,4,5,2,1,"$100,000 - $149,999"
1098,6,5,4,1,3,2,"$100,000 - $149,999"
89,1,4,3,6,5,2,"$100,000 - $149,999"
